Внутрішній код товару;Штриховий код товару;Код товару за УКТЗЕД;Код послуги за ДКПП;Найменування товару;Код одиниці виміру;Найменування одиниці виміру;Ціна (грн);ПДВ – літера;ПДВ – ставка (%);Збір – літера;Збір – ставка (%);Позначка акцизної марки
"79";"2000000000794";"";"";"20*30 Фоторамка БЕЛАЯ";"";"шт";"58";"";"";"";"";""
"80";"2000000000800";"";"";"20*30 Фоторамка ТЕПЛЫЕ ВОСПОМИНАНИЯ";"";"шт";"55";"";"";"";"";""
"81";"2000000000817";"";"";"20*30 Фоторамка ОРНАМЕНТ";"";"шт";"70";"";"";"";"";""
"82";"2000000000824";"";"";"20*30 Фоторамка ЦВЕТНАЯ";"";"шт";"58";"";"";"";"";""
"83";"2000000000831";"";"";"30*40 Фоторамка ЗОЛОТО";"";"шт";"105";"";"";"";"";""
"84";"2000000000848";"";"";"30*40 Фоторамка ЦВЕТНАЯ";"";"шт";"130";"";"";"";"";""
"86";"2000000000862";"";"";"10*15 Фоторамка СТЕКЛО";"";"шт";"70";"";"";"";"";""
"164";"2000000001647";"";"";"20*30 Фоторамка КОСИЧКА";"";"шт";"75";"";"";"";"";""
"167";"2000000001678";"";"";"10*15 Фоторамка КОСИЧКА узкая";"";"шт";"35";"";"";"";"";""
"167";"2000000001678";"";"";"10*15 Фоторамка КОСИЧКА узкая";"";"шт";"45";"";"";"";"";""
"177";"2000000001777";"";"";"Футболка B&C #E150/women";"";"шт";"185";"";"";"";"";""
"178";"2000000001784";"";"";"Футболка B&C #E150";"";"шт";"185";"";"";"";"";""
"179";"2000000001791";"";"";"Футболка FOL Ladi Fit Valueveight Tee";"";"шт";"165";"";"";"";"";""
"180";"2000000001807";"";"";"Тенниска унисекс B&C ID.001";"";"шт";"385";"";"";"";"";""
"181";"2000000001814";"";"";"Футболка унисекс FOL Valueweight T";"";"шт";"165";"";"";"";"";""
"184";"2000000001845";"";"";"Чашка ЦВЕТНАЯ";"";"шт";"160";"";"";"";"";""
"184";"2000000001845";"";"";"Чашка ЦВЕТНАЯ";"";"шт";"170";"";"";"";"";""
"185";"2000000001852";"";"";"Чашка БЕЛАЯ";"";"шт";"120";"";"";"";"";""
"185";"2000000001852";"";"";"Чашка БЕЛАЯ";"";"шт";"140";"";"";"";"";""
"186";"2000000001869";"";"";"Кружка для сублимайции хамелеон черная матовая";"";"шт";"185";"";"";"";"";""
"186";"2000000001869";"";"";"Кружка для сублимайции хамелеон черная матовая";"";"шт";"195";"";"";"";"";""
"187";"2000000001876";"";"";"Кружка для сублимации хамелеон";"";"шт";"185";"";"";"";"";""
"190";"2000000001906";"";"";"Кружка для сублимайции хамелеон блестки";"";"шт";"225";"";"";"";"";""
"191";"2000000001913";"";"";"Кружка для сублимайции I love you";"";"шт";"200";"";"";"";"";""
"194";"2000000001944";"";"";"Кружка для сублимации белая сердце";"";"шт";"150";"";"";"";"";""
"194";"2000000001944";"";"";"Кружка для сублимации белая сердце";"";"шт";"160";"";"";"";"";""
"195";"2000000001951";"";"";"Кружка для сублимайции хамелеон черная глянцевая";"";"шт";"225";"";"";"";"";""
"203";"2000000002033";"";"";"Кружка для сублимации Латте 500мл";"";"шт";"250";"";"";"";"";""
"204";"2000000002040";"";"";"Кружка для сублимации стекло";"";"шт";"160";"";"";"";"";""
